Series ID,Date Reported,State (US),Carrier Type,Model Type,Reasons behind Tire Wear,Type Of Tire Wear,Max Load,Inflation Pressure,Overall Diameter
42,24-05-2017,New Hamsphire,Passenger,Y,Under-inflated tires,Side Wear,"2,500 lbs ",45 psi,55''
43,25-05-2017,New Hamsphire,Passenger,Y,Under-inflated tires,Side Wear,"2,500 lbs ",46 psi,55''
44,26-05-2017,New Hamsphire,Passenger,Y,Under-inflated tires,Side Wear,"2,500 lbs ",47 psi,55''
45,27-05-2017,New Hamsphire,Passenger,Z,Under-inflated tires,Side Wear,"2,500 lbs ",48 psi,55''
46,28-05-2017,New Hamsphire,Passenger,Z,Bent or worn steering arm,Side Wear,"2,500 lbs ",49 psi,55''
47,29-05-2017,New Hamsphire,Passenger,Z,Bent or worn steering arm,Side Wear,"2,500 lbs ",50 psi,55''
48,30-05-2017,New Hamsphire,Passenger,Z,Bent or worn steering arm,Side Wear,"2,500 lbs ",51 psi,55''
49,31-05-2017,New Hamsphire,Passenger,Z,Bent or worn steering arm,Side Wear,"2,500 lbs ",52 psi,55''
50,01-06-2017,New Hamsphire,Passenger,Z,Bent or worn steering arm,Side Wear,"2,500 lbs ",53 psi,55''
51,02-06-2017,New Hamsphire,Passenger,Z,Bent or worn steering arm,Side Wear,"2,500 lbs ",54 psi,55''
52,03-06-2017,New Hamsphire,Passenger,Z,Bent or worn steering arm,Side Wear,"2,500 lbs ",55 psi,55''
53,04-06-2017,New Hamsphire,Passenger,Z,Bent or worn steering arm,Side Wear,"2,500 lbs ",25 psi,55''
54,05-06-2017,New Hamsphire,Passenger,Z,Bent or worn steering arm,Side Wear,"2,500 lbs ",26 psi,55''
55,06-06-2017,New Hamsphire,Passenger,Z,Bent or worn steering arm,Side Wear,"2,500 lbs ",27 psi,55''
56,07-06-2017,New Hamsphire,Passenger,Z,Bent or worn steering arm,Side Wear,"2,500 lbs ",28 psi,55''
57,08-06-2017,New Hamsphire,Passenger,Z,Bent or worn steering arm,Side Wear,"2,500 lbs ",29 psi,55''
58,09-06-2017,New Hamsphire,Passenger,Z,Bent or worn steering arm,Side Wear,"2,500 lbs ",30 psi,55''
59,10-06-2017,New Hamsphire,Passenger,Z,Bent or worn steering arm,Side Wear,"2,500 lbs ",30 psi,55''
60,11-06-2017,Nebraska,Passenger,Z,Bent or worn steering arm,Side Wear,"2,500 lbs ",30 psi,55''
61,12-06-2017,Nebraska,Passenger,Z,Bent or worn steering arm,Side Wear,"2,500 lbs ",30 psi,55''
62,13-06-2017,Nebraska,Passenger,Z,Bent or worn steering arm,Side Wear,"2,500 lbs ",30 psi,55''
63,14-06-2017,Nebraska,Passenger,Z,Bent or worn steering arm,Side Wear,"2,500 lbs ",30 psi,60''
64,15-06-2017,Nebraska,Passenger,Z,Bent or worn steering arm,Side Wear,"2,500 lbs ",30 psi,60''
65,16-06-2017,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",30 psi,60''
66,17-06-2017,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",30 psi,60''
67,18-06-2017,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",30 psi,60''
68,19-06-2017,Texas,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",30 psi,60''
69,20-06-2017,Texas,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",30 psi,60''
70,21-06-2017,Texas,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",45 psi,60''
71,22-06-2017,Texas,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",45 psi,60''
72,23-06-2017,Texas,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",45 psi,60''
73,24-06-2017,Texas,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",45 psi,60''
74,25-06-2017,New York,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",45 psi,60''
75,26-06-2017,New York,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",45 psi,60''
76,27-06-2017,New York,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",45 psi,60''
77,28-06-2017,New York,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",45 psi,60''
78,29-06-2017,New York,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",45 psi,60''
79,30-06-2017,New York,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",45 psi,60''
80,01-07-2017,New York,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",45 psi,60''
81,02-07-2017,New York,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",45 psi,60''
82,03-07-2017,New York,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",45 psi,60''
83,04-07-2017,New York,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",30 psi,60''
84,05-07-2017,New York,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",30 psi,60''
85,06-07-2017,New York,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",30 psi,60''
86,07-07-2017,California,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",30 psi,60''
87,08-07-2017,California,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",30 psi,60''
88,09-07-2017,California,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",30 psi,60''
89,10-07-2017,California,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",30 psi,60''
90,11-07-2017,California,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",30 psi,60''
91,12-07-2017,California,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",30 psi,60''
92,13-07-2017,California,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",30 psi,60''
93,14-07-2017,California,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",30 psi,60''
94,15-07-2017,California,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",30 psi,60''
95,16-07-2017,California,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",30 psi,60''
96,17-07-2017,California,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",30 psi,60''
97,18-07-2017,California,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",30 psi,60''
98,19-07-2017,California,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",30 psi,60''
99,20-07-2017,California,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",30 psi,60''
100,21-07-2017,California,Passenger,Z,Car out of alignment,Side Wear,"23,600 lbs ",30 psi,60''
101,22-07-2017,California,Passenger,Z,Car out of alignment,Side Wear,"23,600 lbs ",30 psi,60''
102,23-07-2017,California,Passenger,Z,Car out of alignment,Side Wear,"23,600 lbs ",30 psi,60''
103,24-07-2017,California,Passenger,Z,Car out of alignment,Side Wear,"23,600 lbs ",30 psi,60''
104,25-07-2017,California,Passenger,Z,Car out of alignment,Side Wear,"23,600 lbs ",30 psi,60''
105,26-07-2017,California,Passenger,Z,Car out of alignment,Side Wear,"23,600 lbs ",30 psi,60''
106,27-07-2017,California,Passenger,Z,Car out of alignment,Side Wear,"23,600 lbs ",30 psi,60''
107,28-07-2017,California,Passenger,Z,Car out of alignment,Side Wear,"23,600 lbs ",30 psi,60''
108,29-07-2017,California,Passenger,Z,Car out of alignment,Side Wear,"23,600 lbs ",30 psi,25''
109,30-07-2017,California,Passenger,Z,Car out of alignment,Side Wear,"23,600 lbs ",30 psi,25''
110,31-07-2017,California,Passenger,Z,Car out of alignment,Side Wear,"23,600 lbs ",30 psi,25''
111,01-08-2017,California,Passenger,Z,Car out of alignment,Side Wear,"23,600 lbs ",30 psi,25''
112,02-08-2017,California,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",30 psi,25''
113,03-08-2017,California,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",30 psi,25''
114,04-08-2017,Ohio,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",30 psi,25''
115,05-08-2017,Ohio,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",30 psi,25''
116,06-08-2017,Ohio,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",30 psi,25''
117,07-08-2017,Ohio,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",30 psi,25''
118,08-08-2017,Ohio,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",30 psi,25''
119,09-08-2017,Ohio,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",30 psi,25''
120,10-08-2017,Ohio,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,25''
121,11-08-2017,Ohio,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,25''
122,12-08-2017,Ohio,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,25''
123,13-08-2017,Ohio,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,25''
124,14-08-2017,Ohio,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,25''
125,15-08-2017,Ohio,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,25''
126,16-08-2017,Ohio,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,25''
127,17-08-2017,Ohio,Passenger,X,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,25''
128,18-08-2017,Ohio,Passenger,X,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,25''
129,19-08-2017,Ohio,Passenger,X,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,25''
130,20-08-2017,Ohio,Passenger,X,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,25''
131,21-08-2017,California,Passenger,X,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,25''
132,22-08-2017,California,Passenger,X,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,25''
133,23-08-2017,California,Passenger,X,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,25''
134,24-08-2017,California,Passenger,X,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,25''
135,25-08-2017,California,Passenger,X,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,25''
136,26-08-2017,California,Passenger,X,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,25''
137,27-08-2017,California,Passenger,X,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,25''
138,28-08-2017,California,Passenger,X,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,25''
139,29-08-2017,California,Passenger,X,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,25''
140,30-08-2017,California,Passenger,X,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,25''
141,31-08-2017,California,Passenger,X,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,25''
142,01-09-2017,California,Passenger,X,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,25''
143,02-09-2017,California,Passenger,X,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,25''
144,03-09-2017,California,Passenger,X,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,25''
145,04-09-2017,California,Passenger,X,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,25''
146,05-09-2017,California,Passenger,X,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,25''
147,06-09-2017,California,Passenger,X,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,25''
148,07-09-2017,California,Passenger,X,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,35''
149,08-09-2017,California,Passenger,X,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,35''
150,09-09-2017,California,Passenger,X,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,35''
151,10-09-2017,California,Passenger,X,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,35''
152,11-09-2017,California,Passenger,X,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,35''
153,12-09-2017,California,Passenger,X,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,35''
154,13-09-2017,California,Passenger,X,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,35''
155,14-09-2017,California,Passenger,X,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,35''
156,15-09-2017,California,Passenger,X,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,35''
157,16-09-2017,California,Farm,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,35''
158,17-09-2017,California,Farm,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,35''
159,18-09-2017,California,Farm,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,35''
160,19-09-2017,California,Farm,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,35''
161,20-09-2017,California,Farm,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,35''
162,21-09-2017,California,Farm,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,35''
163,22-09-2017,California,Farm,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,35''
164,23-09-2017,California,Farm,Z,Car out of alignment,Side Wear,"2,500 lbs ",30 psi,35''
165,24-09-2017,California,Farm,Z,Car out of alignment,Side Wear,"2,500 lbs ",30 psi,35''
166,25-09-2017,California,Farm,Z,Car out of alignment,Side Wear,"2,500 lbs ",30 psi,35''
167,26-09-2017,California,Farm,Z,Car out of alignment,Side Wear,"2,500 lbs ",30 psi,35''
168,27-09-2017,California,Farm,Z,Car out of alignment,Side Wear,"2,500 lbs ",30 psi,35''
169,28-09-2017,California,Farm,Z,Car out of alignment,Side Wear,"2,500 lbs ",30 psi,35''
170,29-09-2017,California,Farm,Z,Car out of alignment,Side Wear,"2,500 lbs ",30 psi,35''
171,30-09-2017,California,Farm,Z,Car out of alignment,Side Wear,"2,500 lbs ",30 psi,35''
172,01-10-2017,California,Farm,Z,Car out of alignment,Side Wear,"2,500 lbs ",30 psi,35''
173,02-10-2017,California,Farm,Z,Car out of alignment,Side Wear,"2,500 lbs ",30 psi,35''
174,03-10-2017,California,Farm,Z,Car out of alignment,Side Wear,"2,500 lbs ",30 psi,35''
175,04-10-2017,California,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",30 psi,35''
176,05-10-2017,California,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",30 psi,35''
177,06-10-2017,California,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",30 psi,35''
178,07-10-2017,California,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",30 psi,35''
179,08-10-2017,California,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",30 psi,35''
180,09-10-2017,California,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",30 psi,35''
181,10-10-2017,New Hamsphire,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",30 psi,35''
182,11-10-2017,New Hamsphire,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",30 psi,35''
183,12-10-2017,New Hamsphire,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",30 psi,35''
184,13-10-2017,New Hamsphire,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",30 psi,35''
185,14-10-2017,New Hamsphire,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",30 psi,35''
186,15-10-2017,New Hamsphire,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",30 psi,35''
187,16-10-2017,New Hamsphire,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",30 psi,35''
188,17-10-2017,New Hamsphire,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",30 psi,35''
189,18-10-2017,New Hamsphire,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",30 psi,35''
190,19-10-2017,New Hamsphire,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",30 psi,35''
191,20-10-2017,New Hamsphire,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",30 psi,35''
192,21-10-2017,New Hamsphire,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",30 psi,35''
193,22-10-2017,New Hamsphire,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",30 psi,35''
194,23-10-2017,New Hamsphire,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",30 psi,35''
195,24-10-2017,New Hamsphire,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,35''
196,25-10-2017,New Hamsphire,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,35''
197,26-10-2017,New Hamsphire,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,35''
198,27-10-2017,New Hamsphire,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,35''
199,28-10-2017,New Hamsphire,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,35''
200,29-10-2017,New Hamsphire,Industrial,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,35''
201,30-10-2017,New Hamsphire,Industrial,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,35''
202,31-10-2017,New Hamsphire,Industrial,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,40''
203,01-11-2017,New Hamsphire,Industrial,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,40''
204,02-11-2017,New Hamsphire,Industrial,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,40''
205,03-11-2017,New Hamsphire,Industrial,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,40''
206,04-11-2017,New Hamsphire,Industrial,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,40''
207,05-11-2017,New Hamsphire,Industrial,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,40''
208,06-11-2017,New Hamsphire,Industrial,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,40''
209,07-11-2017,New Hamsphire,Industrial,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,40''
210,08-11-2017,New Hamsphire,Industrial,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,40''
211,09-11-2017,New Hamsphire,Industrial,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,40''
212,10-11-2017,New Hamsphire,Industrial,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,40''
213,11-11-2017,New Hamsphire,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,40''
214,12-11-2017,New Hamsphire,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,40''
215,13-11-2017,New Hamsphire,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,40''
216,14-11-2017,New Hamsphire,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,40''
217,15-11-2017,New Hamsphire,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,40''
218,16-11-2017,New Hamsphire,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,40''
219,17-11-2017,New Hamsphire,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,40''
220,18-11-2017,New Hamsphire,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,40''
221,19-11-2017,New Hamsphire,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,40''
222,20-11-2017,New Hamsphire,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,40''
223,21-11-2017,New Hamsphire,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,40''
224,22-11-2017,New Hamsphire,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,40''
225,23-11-2017,New Hamsphire,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,40''
226,24-11-2017,New Hamsphire,Passenger,Z,Car out of alignment,Side Wear,"4,000 lbs ",50 psi,40''
227,25-11-2017,New Hamsphire,Passenger,Z,Car out of alignment,Side Wear,"4,000 lbs ",50 psi,40''
228,26-11-2017,New Hamsphire,Passenger,Z,Car out of alignment,Side Wear,"4,000 lbs ",50 psi,40''
229,27-11-2017,New Hamsphire,Passenger,Z,Car out of alignment,Side Wear,"4,000 lbs ",50 psi,40''
230,28-11-2017,New Hamsphire,Passenger,Z,Car out of alignment,Side Wear,"4,000 lbs ",50 psi,40''
231,29-11-2017,New Hamsphire,Passenger,Z,Car out of alignment,Side Wear,"4,000 lbs ",50 psi,40''
232,30-11-2017,New Hamsphire,Passenger,Z,Car out of alignment,Side Wear,"4,000 lbs ",50 psi,40''
233,01-12-2017,New Hamsphire,Passenger,Z,Car out of alignment,Side Wear,"4,000 lbs ",50 psi,40''
234,02-12-2017,New Hamsphire,Passenger,Z,Car out of alignment,Side Wear,"4,000 lbs ",50 psi,40''
235,03-12-2017,New Hamsphire,Passenger,Z,Car out of alignment,Side Wear,"4,000 lbs ",50 psi,40''
236,04-12-2017,New Hamsphire,Passenger,Z,Car out of alignment,Side Wear,"4,000 lbs ",50 psi,40''
237,05-12-2017,New Hamsphire,Passenger,Z,Car out of alignment,Side Wear,"4,000 lbs ",50 psi,40''
238,06-12-2017,New Hamsphire,Passenger,Z,Car out of alignment,Side Wear,"4,000 lbs ",50 psi,40''
239,07-12-2017,New Hamsphire,Farm,Z,Car out of alignment,Side Wear,"4,000 lbs ",50 psi,40''
240,08-12-2017,New Hamsphire,Farm,Z,Car out of alignment,Side Wear,"4,000 lbs ",50 psi,40''
241,09-12-2017,New Hamsphire,Farm,Z,Car out of alignment,Side Wear,"4,000 lbs ",50 psi,40''
242,10-12-2017,New Hamsphire,Farm,Z,Car out of alignment,Side Wear,"4,000 lbs ",50 psi,40''
243,11-12-2017,New Hamsphire,Farm,Z,Car out of alignment,Side Wear,"4,000 lbs ",50 psi,50''
244,12-12-2017,New Hamsphire,Farm,Z,Car out of alignment,Side Wear,"4,000 lbs ",50 psi,50''
245,13-12-2017,New Hamsphire,Farm,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,50''
246,14-12-2017,New Hamsphire,Farm,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,50''
247,15-12-2017,New Hamsphire,Farm,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,50''
248,16-12-2017,New Hamsphire,Farm,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,50''
249,17-12-2017,New Hamsphire,Farm,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,50''
250,18-12-2017,New Hamsphire,Farm,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,50''
251,19-12-2017,New Hamsphire,Farm,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,50''
252,20-12-2017,New Hamsphire,Farm,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,50''
253,21-12-2017,New Hamsphire,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,50''
254,22-12-2017,New Hamsphire,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,50''
255,23-12-2017,New Hamsphire,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,50''
